id,title,content.descriptiveNonRepeating.record_link,content.descriptiveNonRepeating.title.content,content.descriptiveNonRepeating.data_source,content.indexedStructured.date,content.indexedStructured.object_type,content.indexedStructured.name,content.indexedStructured.topic,content.indexedStructured.language,content.indexedStructured.place,content.freetext.date,content.indexedStructured.culture,content.indexedStructured.online_media_rights,content.indexedStructured.online_media_type,content.freetext.culture,content.freetext.publisher
ld1-1660040435858-1660040561297-0,Juncus subglobosus Adamson,http://n2t.net/ark:/65665/31097c63d-e804-4801-a0e4-00929c36acdd,Juncus subglobosus Adamson,NMNH - Botany Dept.,['1970s'],,"['Bayliss, R. D.']",['Monocotyledonae'],,"['Africa', 'Lesotho']","[{'label': 'Collection Date', 'content': '23 Jan 1975'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Juncus subglobosus Adamson'}]"
ld1-1660040435858-1660040561181-0,Juncus punctorius L. f.,http://n2t.net/ark:/65665/392165bf5-34d5-4aca-bcb2-6f887119749c,Juncus punctorius L. f.,NMNH - Botany Dept.,['1900s'],,"['Pappi, A.']",['Monocotyledonae'],,"['Eritrea', 'Africa']","[{'label': 'Collection Date', 'content': '17 Jan 1902'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Juncus punctorius L. f.'}]"
ld1-1643407258909-1643407298172-0,Irvingia smithii Hook. f.,http://n2t.net/ark:/65665/39ee072b0-770e-4062-8b70-465277b2efca,Irvingia smithii Hook. f.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '5 Apr 1922'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Irvingia smithii Hook. f.'}]"
ld1-1643409025544-1643409084174-1,Indet. sp.,http://n2t.net/ark:/65665/386d30b51-2f90-4425-84db-4da6f3268bb3,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",,,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': 'Jan 1925'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643409025544-1643409084300-1,Indet. sp.,http://n2t.net/ark:/65665/38ef0a756-f3bc-4f99-affc-5df845d1f882,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",,,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': 'Oct 1924'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643409025544-1643409084448-0,Indet. sp.,http://n2t.net/ark:/65665/3976f2710-4c1e-468e-96a7-c622b7c8a33c,Indet. sp.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",,,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '27 Jan 1922'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Indet. sp.'}]"
ld1-1643407258909-1643407308478-0,Pyrenacantha zenkeri Exell,http://n2t.net/ark:/65665/3c6e889d8-270f-46fc-9a50-784ce5439869,Pyrenacantha zenkeri Exell,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1924'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Pyrenacantha zenkeri Exell'}]"
ld1-1643407258909-1643407308541-2,Pyrenacantha zenkeri Exell,http://n2t.net/ark:/65665/34754b73c-f7bc-40ff-a11b-a781bf67d758,Pyrenacantha zenkeri Exell,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1923'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Pyrenacantha zenkeri Exell'}]"
ld1-1643407258909-1643407307832-1,Pyrenacantha zenkeri Exell,http://n2t.net/ark:/65665/3b7ad7516-6bd1-48da-9485-c80a0e8a6906,Pyrenacantha zenkeri Exell,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '19 Apr 1923'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Pyrenacantha zenkeri Exell'}]"
ld1-1643407258909-1643407308582-1,Pyrenacantha zenkeri Exell,http://n2t.net/ark:/65665/3648ad2d3-9296-414e-b867-cc76801bbddb,Pyrenacantha zenkeri Exell,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': 'Dec 1921'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Pyrenacantha zenkeri Exell'}]"
ld1-1643408033027-1643408085666-1,Harungana madagascariensis Lam. ex Poir.,http://n2t.net/ark:/65665/3b4b520bb-0632-4fbf-8ddb-05bfc71e3473,Harungana madagascariensis Lam. ex Poir.,NMNH - Botany Dept.,['1920s'],,"['Gossweiler, -.']",['Dicotyledonae'],,"['Angola', 'Zaire', 'Africa']","[{'label': 'Collection Date', 'content': '1922'}]",,,['Images'],,"[{'label': 'Published Name', 'content': 'Harungana madagascariensis Lam. ex Poir.'}]"
